G                               1         0.0000000000      0.0000000000      0.0000000000      0.0000000000
N                             101         1.2965031540      0.0000000000      0.5000000000      0.0000000000
P                             223         2.8843887426      0.2500000000      0.2500000000      0.2500000000
G                             294         3.8011549146      0.0000000000      0.0000000000      0.0000000000
H                             467         6.0467642495     -0.5000000000      0.5000000000      0.0000000000
N                             567         7.3432674035      0.0000000000      0.5000000000      0.0000000000
